朱福珠-3-0-lbk01_032|ngin11 gong31 a11 : an31 ne24 ge55 siid5 cab5 , qiu55 an31 ne24 ge55 hang11 cab5 , gu55 so31 teu11 ga24 dui55 siin11 lo11 e31 oi55 go55 ho31 deu24 e24 .|ngin11 gong31 a11 : an31 ne24 ge55 siid5 cab5 , qiu55 an31 ne24 ge55 hang11 cab5 , gu55 so31 teu11 ga24 dui55 siin11 lo11 e31 oi55 go55 ho31 deu24 e24 . 
朱福珠-3-0-prov_158|kiung11 m11 go55 sam24 toi55 , fu55 m11 go55 sam24 toi55|kiung11 m11 go55 sam24 toi55 , fu55 m11 go55 sam24 toi55
朱福珠-3-0-lbk03_156|a24 me24 gong31 : zo55 ngin11 oi55 siid5 cai55 , m11 ho31 fa24 fa24 ga31 ga31 , nang55 m11 voi55 bun24 ngin11 kon55 m11 hi31 .|a24 me24 gong31 : zo55 ngin11 oi55 siid5 cai55 , m11 ho31 fa24 fa24 ga31 ga31 , nang55 m11 voi55 bun24 ngin11 kon55 m11 hi31 . 
朱福珠-3-0-hkst05_129|cu24 xi55 oi55 ngiang11 siin11 .|cu24 xi55 oi55 ngiang11 siin11 . 
朱福珠-3-0-hkst07_434|gin24 bu24 ngid2 jia55 ge55 qien11 , oi55 do55 ngiad5 mi24 nang55 iu24 ho31 van11 ng11 o31 , zo55 ded2 mo11 ?|gin24 bu24 ngid2 jia55 ge55 qien11 , oi55 do55 ngiad5 mi24 nang55 iu24 ho31 van11 ng11 o31 , zo55 ded2 mo11 ? 
朱福珠-3-0-lbk14_139|tang24 gong31 gong31 dung24 ge55 hag2 ga24 ngin11 siid5 gieu31 ngiug2 goi55 gong31 giu55 , tin55 cog5 he55 teu11 vong11 ngi55 vu24 sam24 pag5 xi55 fa24 la24 .|tang24 gong31 gong31 dung24 ge55 hag2 ga24 ngin11 siid5 gieu31 ngiug2 goi55 gong31 giu55 , tin55 cog5 he55 teu11 vong11 ngi55 vu24 sam24 pag5 xi55 fa24 la24 . 
朱福珠-3-0-prov_157|vo11 pa55 hon11 lu55 fung24 , ngin11 pa55 lo31 loi11 kiung11|vo11 pa55 hon11 lu55 fung24 , ngin11 pa55 lo31 loi11 kiung11
朱福珠-3-0-lbk10_176|ng11 gong31 fa55 ne11 ne11 ne55 ne55 oi55 gong31 m11 gong31 , ma31 ngin11 tang24 ded2 siid2 no31 ?|ng11 gong31 fa55 ne11 ne11 ne55 ne55 oi55 gong31 m11 gong31 , ma31 ngin11 tang24 ded2 siid2 no31 ? 
朱福珠-3-0-hkst06_474|a24 kiong11 kon55 do31 ia24 jia31 e31 tung11 ngin11 hag2 iu24 gong31 iu24 nag2 , gu55 so31 mien55 cu55 cu55 e24 .|a24 kiong11 kon55 do31 ia24 jia31 e31 tung11 ngin11 hag2 iu24 gong31 iu24 nag2 , gu55 so31 mien55 cu55 cu55 e24 . 
朱福珠-3-0-prov_036|zo55 ced5 id2 gang24 , zong31 ced5 id2 ia55|zo55 ced5 id2 gang24 , zong31 ced5 id2 ia55
朱福珠-3-0-hkst05_573|lan24 sii24 gu31 zo55 se55 qiu55 qim11 sam24 zog2 , siid5 fan55 qiu55 hon55 liu11 mag5 log5 .|lan24 sii24 gu31 zo55 se55 qiu55 qim11 sam24 zog2 , siid5 fan55 qiu55 hon55 liu11 mag5 log5 . 
朱福珠-3-0-lbk12_203|nga24 me24 goi55 sad2 mang24 , mi24 ngid2 qid2 mo24 bad2 mia24 mia24 do55 am55 .|nga24 me24 goi55 sad2 mang24 , mi24 ngid2 qid2 mo24 bad2 mia24 mia24 do55 am55 . 
朱福珠-3-0-hkst02_291|ge55 cud2 hi55 ge55 zu31 gog2 go24 tien24 tien24 .|ge55 cud2 hi55 ge55 zu31 gog2 go24 tien24 tien24 . 
朱福珠-3-0-hkst01_398|id2 pu55 fun55 he55 i11 ge55 .|id2 pu55 fun55 he55 i11 ge55 . 
朱福珠-3-0-hkst07_370|cau11 sii55 ge55 ha55 , tin55 cog5 mo11 ho31 fa55 .|cau11 sii55 ge55 ha55 , tin55 cog5 mo11 ho31 fa55 . 
朱福珠-3-0-hkst01_003|siin24 ti31 kong24 kian55 .|siin24 ti31 kong24 kian55 . 
朱福珠-3-0-prov_257|ko55 san24 san24 voi55 do31 , ko55 sui31 sui31 voi55 zau24 , ko55 ngin11 ngin11 voi55 lo31|ko55 san24 san24 voi55 do31 , ko55 sui31 sui31 voi55 zau24 , ko55 ngin11 ngin11 voi55 lo31
朱福珠-3-0-prov_010|zog2 meu55 zii31 , kon55 meu55 ma11|zog2 meu55 zii31 , kon55 meu55 ma11
朱福珠-3-0-lbk08_194|a24 mi24 moi55 ! lin31 qin24 loi11 mo11 ban55 gin24 , zii24 qin24 loi11 kuan55 do55 lin11 lin11 qin24 qin24 , an31 ne24 voi55 ted2 go55 fun55 mo11 ?|a24 mi24 moi55 ! lin31 qin24 loi11 mo11 ban55 gin24 , zii24 qin24 loi11 kuan55 do55 lin11 lin11 qin24 qin24 , an31 ne24 voi55 ted2 go55 fun55 mo11 ? 
朱福珠-3-0-lbk10_129|ge55 tiau11 lu55 nam55 nam55 jiog5 jiog5 , ca24 e31 sii31 go55 hi55 goi55 mun11 hiam31 .|ge55 tiau11 lu55 nam55 nam55 jiog5 jiog5 , ca24 e31 sii31 go55 hi55 goi55 mun11 hiam31 . 
朱福珠-3-0-hkst05_268|gi55 vag5 min11 ngian11 cud2 gued2 liau55 , iu24 ma31 ge55 gi55 vag5 ?|gi55 vag5 min11 ngian11 cud2 gued2 liau55 , iu24 ma31 ge55 gi55 vag5 ? 
朱福珠-3-0-hkst07_236|i11 qiong55 sam24 se55 ge55 se55 ngin11 e31 iong55 e31 , xid2 ba31 e24 mo11 sun55 i11 qiu55 dun55 kud5 .|i11 qiong55 sam24 se55 ge55 se55 ngin11 e31 iong55 e31 , xid2 ba31 e24 mo11 sun55 i11 qiu55 dun55 kud5 . 
